Time / s,LSPR peak wavelength / nm
0.296875,761.7344
1.28125,761.7263
2.28125,761.7281
3.28125,761.732
4.28125,761.7371
5.28125,761.735
6.28125,761.7372
7.296875,761.7299
8.28125,761.7225
9.28125,761.7181
10.28125,761.7257
11.28125,761.7214
12.28125,761.7319
13.28125,761.7267
14.28125,761.7259
15.28125,761.7319
16.28125,761.7291
17.28125,761.7231
18.28125,761.7224
19.28125,761.7293
20.28125,761.7207
21.28125,761.7173
22.28125,761.7253
23.28125,761.7273
24.28125,761.7241
25.28125,761.7222
26.28125,761.7307
27.28125,761.7217
28.28125,761.7116
29.28125,761.7193
30.28125,761.7229
31.28125,761.7267
32.28125,761.7269
33.28125,761.7167
34.28125,761.7271
35.28125,761.7133
36.28125,761.7138
37.28125,761.7185
38.28125,761.7192
39.28125,761.7249
40.28125,761.7282
41.28125,761.7194
42.28125,761.7243
43.28125,761.7193
44.28125,761.7173
45.28125,761.7205
46.28125,761.7152
47.28125,761.7146
48.28125,761.7167
49.28125,761.7313
50.28125,761.7197
51.28125,761.7162
52.28125,761.723
53.28125,761.7185
54.28125,761.7261
55.28125,761.7227
56.28125,761.7204
57.28125,761.7206
58.28125,761.7179
59.28125,761.7133
60.28125,761.7208
61.28125,761.7224
62.28125,761.7251
63.28125,761.7098
64.28125,761.7166
65.28125,761.7136
66.28125,761.714
67.28125,761.726
68.28125,761.7179
69.28125,761.7157
70.28125,761.7177
71.28125,761.7105
72.28125,761.7162
73.28125,761.7249
74.28125,761.7077
75.28125,761.72
76.28125,761.7144
77.28125,761.7118
78.28125,761.7253
79.28125,761.7095
80.28125,761.7116
81.28125,761.7223
82.28125,761.7136
83.28125,761.7167
84.28125,761.7083
85.28125,761.713
86.28125,761.7137
87.28125,761.7205
88.28125,761.7161
89.28125,761.713
90.28125,761.7147
91.28125,761.7152
92.28125,761.719
93.28125,761.7118
94.28125,761.7138
95.28125,761.7105
96.28125,761.7117
97.28125,761.7044
98.28125,761.7134
99.28125,761.715
100.2813,761.7057
101.2813,761.7051
102.2813,761.7123
103.2813,761.7058
104.2813,761.7101
105.2813,761.7143
106.2813,761.7031
107.2813,761.7059
108.2813,761.7068
109.2813,761.7079
110.2813,761.7132
111.2813,761.707
112.2813,761.6973
113.2813,761.7085
114.2813,761.7139
115.2813,761.7178
116.2813,761.7167
117.2813,761.7074
118.2813,761.7085
119.2813,761.7072
120.2813,761.7083
121.2813,761.7111
122.2813,761.7106
123.2813,761.7108
124.2813,761.7085
125.2813,761.7112
126.2813,761.7083
127.2813,761.703
128.2813,761.6999
129.2813,761.7051
130.2813,761.7109
131.2813,761.7135
132.2813,761.7138
133.2813,761.7114
134.2813,761.7031
135.2813,761.7025
136.2813,761.7041
137.2813,761.7035
138.2813,761.7136
139.2813,761.7025
140.2813,761.7076
141.2813,761.7052
142.2813,761.7082
143.2813,761.7099
144.2813,761.6996
145.2813,761.71
146.2813,761.7002
147.2813,761.7113
148.2813,761.7072
149.2813,761.717
150.2813,761.7112
151.2813,761.703
152.2813,761.7042
153.2813,761.7008
154.2813,761.7114
155.2813,761.7059
156.2813,761.7024
157.2813,761.7066
158.2813,761.7075
159.2813,761.714
160.2813,761.7147
161.2969,761.7336
162.2813,761.7349
163.2813,761.7388
164.2813,761.7489
165.2813,761.7573
166.2813,761.7671
167.2813,761.7728
168.2813,761.7814
169.2813,761.7976
170.2813,761.7999
171.2813,761.8186
172.2813,761.8247
173.2813,761.8359
174.2813,761.8425
175.2813,761.8628
176.2813,761.8628
177.2813,761.8709
178.2813,761.8919
179.2813,761.8996
180.2813,761.899
181.2813,761.9072
182.2813,761.9229
183.2813,761.9224
184.2813,761.9193
185.2813,761.939
186.2813,761.9423
187.2813,761.9469
188.2813,761.9517
189.2813,761.9623
190.2813,761.9577
191.2813,761.9584
192.2813,761.977
193.2813,761.9656
194.2813,761.9758
195.2813,761.9772
196.2813,761.9773
197.2813,761.9753
198.2813,761.9781
199.2813,761.9777
200.2813,761.9842
201.2813,761.9892
202.2813,761.9821
203.2813,761.9785
204.2813,761.9867
205.2813,761.9806
206.2813,761.983
207.2813,761.9906
208.2813,761.9872
209.2813,761.9799
210.2813,761.9845
211.2813,761.9881
212.2813,761.9918
213.2813,761.9871
214.2813,761.9809
215.2813,761.9935
216.2813,761.9849
217.2813,761.993
218.2813,761.992
219.2813,761.9911
220.2813,761.9932
221.2813,761.9926
222.2813,761.9937
223.2813,761.9912
224.2813,761.992
225.2813,761.9945
226.2813,761.9797
227.2813,761.984
228.2813,761.9867
229.2813,761.9877
230.2813,762.0001
231.2813,761.9847
232.2813,761.9888
233.2813,761.9883
234.2813,761.9899
235.2813,761.9844
236.2813,761.9911
237.2813,761.9935
238.2813,761.9905
239.2813,761.9873
240.2813,761.9909
241.2813,761.9915
242.2813,761.9781
